specialization,fees,avg_rate,waiting_time,clinic_location,rate_count
Nephrologist,400 EGP,5,Waiting Time : 1 Hour and 10 Minutes,New Cairo : beside new cairo court,From 740 Visitors
Internist,210 EGP,4.5,Waiting Time : 31 Minutes,El-Mansoura : sandob square,From 66 Visitors
ENT Doctor,300 EGP,4.5,Waiting Time : 3 Hours and 59 Minutes,El-Mokattam : Street 9,From 309 Visitors
General Surgeon,300 EGP,4.5,Waiting Time : 7 Minutes,El-Sheikh Zayed : Mouez plaza-,From 113 Visitors
Internist,220 EGP,5,Waiting Time : 16 Minutes,Tanta : Elmoderya st,From 130 Visitors
Cardiothoracic Surgeon,500 EGP,,null,El-Giza : Morad street,null
Cardiologist,200 EGP,5,Waiting Time : 37 Minutes,"Shoubra El-Kheima : 15 May, St.",From 52 Visitors
Internist,250 EGP,4,Waiting Time : 4 Hours and 34 Minutes,El-Zaitoun : Seliem El Awal,From 113 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
ENT Doctor,280 EGP,4.5,Waiting Time : 25 Minutes,Hadayek El-Ahram,From 787 Visitors
ENT Doctor,200 EGP,4.5,Waiting Time : 9 Minutes,El-Abbasia,From 256 Visitors
Cardiologist,400 EGP,4,Waiting Time : 8 Minutes,El-Mohandessin : ahmed orabi,From 18 Visitors
Psychiatrist,400 EGP,4,Waiting Time : 14 Minutes,El-Mokattam,From 280 Visitors
Dentist,250 EGP,5,Waiting Time : 20 Minutes,El-Maadi : 77 Street Extension - Arab El Maadi,From 147 Visitors
Ophthalmologist,150 EGP,4.5,Waiting Time : 30 Minutes,Faisal : faisal main street,From 725 Visitors
Endocrinologist,400 EGP,4.5,Waiting Time : 39 Minutes,New Cairo,From 540 Visitors
Rheumatologist,300 EGP,4.5,Waiting Time : 24 Minutes,Nasr City : Ahmed qasim branched from abbas elakaad,From 163 Visitors
Orthopedist,200 EGP,4.5,Waiting Time : 33 Minutes,"Sidy Bishr : 196 Gamal Abdelnasser st, - Beside Baba Sharo.",From 280 Visitors
Physiotherapist,150 EGP,4.5,Waiting Time : 15 Minutes,Faisal : Huda Mosque Street,From 29 Visitors
Physiotherapist,250 EGP,4.5,Waiting Time : 8 Minutes,Nasr City : metwally el shaarawy,From 27 Visitors
Ophthalmologist,130 EGP,5,Waiting Time : 40 Minutes,Miamy,From 1537 Visitors
Gynecologist,80 EGP,4.5,Waiting Time : 19 Minutes,Faisal : king Faisal Street,From 1564 Visitors
Dermatologist,250 EGP,4.5,Waiting Time : 1 Hour and 36 Minutes,Faisal : gendia  mall _eltawabek,From 373 Visitors
ENT Doctor,210 EGP,4.5,Waiting Time : 22 Minutes,El-Mansoura : gehan,From 555 Visitors
Internist,160 EGP,4.5,Waiting Time : 17 Minutes,El-Zagazig : mahmoud hashem street-Kawmya,From 131 Visitors
Cardiologist,150 EGP,4.5,Waiting Time : 45 Minutes,El-Mansoura : salah salem street,From 169 Visitors
Neurologist,300 EGP,4.5,Waiting Time : 35 Minutes,El-Dokki : Wezaret El Zeraa Street,From 597 Visitors
Dentist,100 EGP,4.5,Waiting Time : 24 Minutes,Faisal : 106 king fisal above ahli bank front of vodafone maryotya,From 209 Visitors
Dentist,70 EGP,4,Waiting Time : 1 Hour,Sidy Bishr,From 428 Visitors
Dentist,300 EGP,4.5,Waiting Time : 5 Minutes,New Cairo : 90,From 84 Visitors
Physiotherapist,300 EGP,4.5,Waiting Time : 8 Minutes,Hadayek El-Ahram : Fifth North Street after Menkaure Gate,From 65 Visitors
Dentist,150 EGP,4.5,Waiting Time : 22 Minutes,Shoubra : shikolany,From 362 Visitors
Dentist,120 EGP,4.5,Waiting Time : 24 Minutes,Assiut city : yousry ragheb extention,From 178 Visitors
Dentist,200 EGP,4,Waiting Time : 17 Minutes,El-Sayeda Zainab : A Elkasr Eleini,From 61 Visitors
Physiotherapist,100 EGP,4.5,Waiting Time : 14 Minutes,Sidy Bishr : Alaman st. from sidi Beshr mosque st.,From 176 Visitors
Gastroenterologist,300 EGP,5,Waiting Time : 29 Minutes,El-Maadi,From 683 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Plastic Surgeon,200 EGP,4,Waiting Time : 23 Minutes,El-Zagazig,From 177 Visitors
Internist,160 EGP,4.5,Waiting Time : 17 Minutes,El-Zagazig : mahmoud hashem street-Kawmya,From 131 Visitors
Pulmonologist,300 EGP,4.5,Waiting Time : 29 Minutes,El-Mokattam,From 510 Visitors
Dermatologist,250 EGP,4.5,Waiting Time : 1 Hour and 36 Minutes,Faisal : gendia  mall _eltawabek,From 373 Visitors
Neurologist,300 EGP,4.5,Waiting Time : 35 Minutes,El-Dokki : Wezaret El Zeraa Street,From 597 Visitors
Dentist,100 EGP,4.5,Waiting Time : 7 Minutes,"El-Zagazig : ,  El Obour Bridge extension",From 191 Visitors
Dentist,100 EGP,4.5,Waiting Time : 18 Minutes,Shoubra : shoubra street,From 28 Visitors
Dentist,150 EGP,4,Waiting Time : 21 Minutes,El-Fayoum city,From 115 Visitors
Physiotherapist,300 EGP,4.5,Waiting Time : 8 Minutes,Hadayek El-Ahram : Fifth North Street after Menkaure Gate,From 65 Visitors
Dentist,300 EGP,4.5,Waiting Time : 5 Minutes,New Cairo : 90,From 84 Visitors
Dentist,120 EGP,4.5,Waiting Time : 24 Minutes,Assiut city : yousry ragheb extention,From 178 Visitors
Dentist,70 EGP,4,Waiting Time : 1 Hour,Sidy Bishr,From 428 Visitors
Dentist,200 EGP,4.5,Waiting Time : 8 Minutes,Heliopolis : othman ibn affan,From 32 Visitors
Dentist,100 EGP,4.5,Waiting Time : 16 Minutes,Tanta : saeed with omar abd el3aziz,From 117 Visitors
Dentist,150 EGP,4.5,Waiting Time : 22 Minutes,Shoubra : shikolany,From 362 Visitors
Dentist,100 EGP,4.5,Waiting Time : 20 Minutes,El-Mokattam,From 153 Visitors
Dentist,100 EGP,4.5,Waiting Time : 24 Minutes,Faisal : 106 king fisal above ahli bank front of vodafone maryotya,From 209 Visitors
Dentist,200 EGP,4,Waiting Time : 17 Minutes,El-Sayeda Zainab : A Elkasr Eleini,From 61 Visitors
Urologist,120 EGP,4.5,Waiting Time : 9 Minutes,El-Zagazig : next to sednawy hospital,From 1181 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 12 Minutes,Hadayek El-Ahram : Gardenia Street,From 65 Visitors
Gynecologist,250 EGP,4.5,Waiting Time : 5 Minutes,6th of October,From 294 Visitors
Physiotherapist,200 EGP,4.5,Waiting Time : 14 Minutes,New Cairo : El Narges Services Area,From 243 Visitors
Physiotherapist,100 EGP,4.5,Waiting Time : 14 Minutes,Sidy Bishr : Alaman st. from sidi Beshr mosque st.,From 176 Visitors
Dentist,150 EGP,4.5,Waiting Time : 10 Minutes,El-Mansoura,From 256 Visitors
Dentist,150 EGP,4.5,Waiting Time : 30 Minutes,Nasr City :  Mohamed Almakreif,From 206 Visitors
Dentist,300 EGP,4.5,Waiting Time : 10 Minutes,Madinaty : Medical Center,From 107 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 28 Minutes,Hadayek El-Ahram : elgish street,From 324 Visitors
Gynecologist,200 EGP,4.5,Waiting Time : 24 Minutes,El-Maadi : carrefour road,From 982 Visitors
Audiologist,300 EGP,4.5,Waiting Time : 18 Minutes,Faisal : fisal street,From 121 Visitors
Dentist,100 EGP,4,Waiting Time : 18 Minutes,"Sidy Bishr : 41 Albekbashy Elesawy st., in front of the Computer Mall.",From 74 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Pulmonologist,450 EGP,,null,El-Dokki,null
Physiotherapist,300 EGP,,null,El-Dokki : Tiba St from Gamaet Dwol,null
Dentist,150 EGP,5,Waiting Time : 8 Minutes,"Heliopolis : Ahmed el Dardiry, Ard El Golf",From 3 Visitors
Gynecologist,400 EGP,,null,El-Dokki,null
Dentist,100 EGP,,null,6-Oct,null
Gynecologist,250 EGP,5,Waiting Time : 8 Minutes,El-Manyal : Elmanial street,From 9 Visitors
Pediatrician,450 EGP,,null,El-Dokki,null
Gynecologist,300 EGP,4.5,Waiting Time : 16 Minutes,Alharam street,From 36 Visitors
Hematologist,400 EGP,4.5,Waiting Time : 48 Minutes,Tanta : El-Geish St.  with Al-Galaa st. Al-Awkaf tower .,From 37 Visitors
Endocrinologist,400 EGP,4.5,Waiting Time : 48 Minutes,Faisal : Faisal First,From 90 Visitors
Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,6th of October : in front of wadi degla club,From 140 Visitors
Internist,400 EGP,4.5,Waiting Time : 29 Minutes,Heliopolis : -behind Miliatry College,From 262 Visitors
Psychiatrist,350 EGP,4.5,Waiting Time : 1 Hour and 54 Minutes,Faisal,From 109 Visitors
Cardiologist,220 EGP,4.5,Waiting Time : 17 Minutes,El-Mansoura : Marinet Mubarak Madina Monawara st.,From 49 Visitors
General Surgeon,150 EGP,4.5,Waiting Time : 7 Minutes,Helwan,From 67 Visitors
Endocrinologist,200 EGP,4.5,Waiting Time : 28 Minutes,El-Haram : Station Mashaal,From 337 Visitors
Gynecologist,300 EGP,5,Waiting Time : 20 Minutes,Hadayek El-Ahram : z,From 3 Visitors
Pediatrician,300 EGP,4.5,Waiting Time : 13 Minutes,Alharam street,From 53 Visitors
Internist,500 EGP,4,Waiting Time : 10 Minutes,El-Rehab : Medical Complex 1,From 225 Visitors
Rheumatologist,450 EGP,4.5,Waiting Time : 16 Minutes,Heliopolis : hassan aflaton,From 35 Visitors
Dentist,200 EGP,5,Waiting Time : 5 Minutes,90 Street,From 8 Visitors
Gynecologist,300 EGP,4.5,Waiting Time : 8 Minutes,Faisal : King Faisal,From 12 Visitors
Dentist,350 EGP,,null,Naguib mahfouz,null
Cardiologist,250 EGP,5,Waiting Time : 7 Minutes,El-Mansoura : el gomhoria street,From 40 Visitors
Gynecologist,280 EGP,4.5,Waiting Time : 18 Minutes,Shoubra El-Kheima,From 16 Visitors
Cardiologist,150 EGP,4.5,Waiting Time : 10 Minutes,Menouf,From 12 Visitors
General Surgeon,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : twin tower -,From 134 Visitors
Nutritionist,250 EGP,4.5,Waiting Time : 6 Minutes,El-Obour City : 9th district,From 46 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Psychiatrist,400 EGP,4.5,Waiting Time : 57 Minutes,Mahatet El-Raml,From 110 Visitors
Nutritionist,500 EGP,,null,El-Dokki,null
Pulmonologist,350 EGP,5,Waiting Time : 8 Minutes,Khamseen Street (Carrefour extension) - Zahraa AlMaadi,From 19 Visitors
Orthopedist,400 EGP,,null,"Ali Amin Street, Al Manteqah Al Oula",null
Pulmonologist,500 EGP,,null,El-Dokki,null
Pediatrician,500 EGP,4.5,Waiting Time : 47 Minutes,El-Dokki : Tahrir Street-infront Of Asad Abn Elfourat mosque,From 18 Visitors
Pediatrician,150 EGP,4.5,Waiting Time : 13 Minutes,6-Oct,From 87 Visitors
Ophthalmologist,350 EGP,5,Waiting Time : 21 Minutes,Nasr City,From 13 Visitors
Internist,500 EGP,4,Waiting Time : 10 Minutes,El-Rehab : Medical Complex 1,From 225 Visitors
Rheumatologist,450 EGP,4.5,Waiting Time : 16 Minutes,Heliopolis : hassan aflaton,From 35 Visitors
Dentist,200 EGP,5,Waiting Time : 5 Minutes,90 Street,From 8 Visitors
Gynecologist,300 EGP,4.5,Waiting Time : 8 Minutes,Faisal : King Faisal,From 12 Visitors
Dentist,350 EGP,,null,Naguib mahfouz,null
Cardiologist,250 EGP,5,Waiting Time : 7 Minutes,El-Mansoura : el gomhoria street,From 40 Visitors
Gynecologist,280 EGP,4.5,Waiting Time : 18 Minutes,Shoubra El-Kheima,From 16 Visitors
Cardiologist,150 EGP,4.5,Waiting Time : 10 Minutes,Menouf,From 12 Visitors
General Surgeon,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : twin tower -,From 134 Visitors
Nutritionist,250 EGP,4.5,Waiting Time : 6 Minutes,El-Obour City : 9th district,From 46 Visitors
Dentist,100 EGP,,null,6-Oct,null
Surgical Oncologist,400 EGP,5,Waiting Time : 58 Minutes,micheel bakhoum,From 4 Visitors
Dermatologist,180 EGP,4.5,Waiting Time : 18 Minutes,Miamy : gamal abdelnasser,From 95 Visitors
Orthopedist,300 EGP,5,Waiting Time : 19 Minutes,El-Dokki,From 12 Visitors
Dermatologist,110 EGP,4.5,Waiting Time : 24 Minutes,Aga : elgalaa street,From 28 Visitors
Physiotherapist,120 EGP,4.5,Waiting Time : 18 Minutes,Banha : El Ashraf Street,From 37 Visitors
Dermatologist,150 EGP,4.5,Waiting Time : 45 Minutes,Moharam Bek : moharm bek st,From 376 Visitors
Internist,400 EGP,4,Waiting Time : 17 Minutes,West El-Balad : kasr el neil st,From 164 Visitors
Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,6th of October : in front of wadi degla club,From 140 Visitors
Psychiatrist,350 EGP,4.5,Waiting Time : 1 Hour and 54 Minutes,Faisal,From 109 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Endocrinologist,200 EGP,4.5,Waiting Time : 28 Minutes,El-Haram : Station Mashaal,From 337 Visitors
Cardiologist,300 EGP,5,Waiting Time : 13 Minutes,El-Mokattam : Middle Hadaba,From 81 Visitors
Gynecologist,180 EGP,4.5,Waiting Time : 13 Minutes,El-Mansoura :  hamza ebn abdelmotleb street,From 176 Visitors
Internist,270 EGP,4.5,Waiting Time : 8 Minutes,El-Mansoura : abdo maarof street,From 35 Visitors
General Surgeon,300 EGP,5,Waiting Time : 2 Minutes,"Hurghada City : Mohamed Said St. (Metro), El Kawther",From 6 Visitors
Gynecologist,500 EGP,5,Waiting Time : 28 Minutes,El-Dokki : Mosdak Street,From 14 Visitors
General Surgeon,400 EGP,4.5,Waiting Time : 8 Minutes,El-Sheikh Zayed : twin tower -,From 134 Visitors
Internist,500 EGP,4,Waiting Time : 10 Minutes,El-Rehab : Medical Complex 1,From 225 Visitors
Cardiologist,300 EGP,5,Waiting Time : 11 Minutes,Sporting : Ahmed Allam st from elHorya Road,From 43 Visitors
Gastroenterologist,500 EGP,4.5,Waiting Time : 18 Minutes,Fifth Settlement Medical Center,From 593 Visitors
Cardiologist,220 EGP,4.5,Waiting Time : 17 Minutes,El-Mansoura : Marinet Mubarak Madina Monawara st.,From 49 Visitors
Dentist,100 EGP,4.5,Waiting Time : 12 Minutes,6th of October : in front of wadi degla club,From 140 Visitors
Psychiatrist,350 EGP,4.5,Waiting Time : 1 Hour and 54 Minutes,Faisal,From 109 Visitors
Internist,200 EGP,4.5,Waiting Time : 28 Minutes,Mahalla : Talaat Harb street,From 12 Visitors
Gynecologist,350 EGP,4.5,Waiting Time : 14 Minutes,Faisal street,From 407 Visitors
Psychiatrist,210 EGP,4.5,Waiting Time : 43 Minutes,Mahalla,From 207 Visitors
General Surgeon,150 EGP,5,Waiting Time : 7 Minutes,El-Agamy : Goweida moftah street,From 17 Visitors
Internist,450 EGP,,null,El-Dokki,null
Dermatologist,110 EGP,4.5,Waiting Time : 24 Minutes,Aga : elgalaa street,From 28 Visitors
Physiotherapist,300 EGP,,null,Heliopolis : Elmontazah St from ElHegaz St,null
Dentist,150 EGP,4.5,Waiting Time : 26 Minutes,Maadi Ring Road,From 11 Visitors
Gynecologist,300 EGP,5,Waiting Time : 20 Minutes,Hadayek El-Ahram : z,From 3 Visitors
Cardiologist,450 EGP,,null,El-Dokki,null
Orthopedist,250 EGP,5,Waiting Time : 7 Minutes,El-Giza : Hamadan,From 5 Visitors
Internist,250 EGP,4.5,Waiting Time : 9 Hours and 7 Minutes,6th of October : al mehwar al markzi,From 28 Visitors
Dentist,300 EGP,4.5,Waiting Time : 23 Minutes,Nasr City,From 38 Visitors
Internist,200 EGP,4,Waiting Time : 12 Minutes,6-Oct,From 66 Visitors
Pediatrician,350 EGP,4.5,Waiting Time : 8 Minutes,Heliopolis,From 66 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
General Surgeon,150 EGP,4.5,Waiting Time : 7 Minutes,Helwan,From 67 Visitors
Gynecologist,350 EGP,4.5,Waiting Time : 14 Minutes,Faisal street,From 407 Visitors
Internist,200 EGP,4.5,Waiting Time : 28 Minutes,Mahalla : Talaat Harb street,From 12 Visitors
Psychiatrist,210 EGP,4.5,Waiting Time : 43 Minutes,Mahalla,From 207 Visitors
Internist,200 EGP,4.5,Waiting Time : 10 Minutes,El-Ibrahimia,From 148 Visitors
Ophthalmologist,150 EGP,5,Waiting Time : 10 Minutes,El-Zagazig : tolba eweda street infront of salah salem hospital above lcwikiki,From 174 Visitors
Pediatrician,300 EGP,4.5,Waiting Time : 13 Minutes,Alharam street,From 53 Visitors
Internist,450 EGP,,null,El-Dokki,null
Gynecologist,300 EGP,4.5,Waiting Time : 4 Minutes,Heliopolis,From 62 Visitors
Internist,400 EGP,4.5,Waiting Time : 29 Minutes,Heliopolis : -behind Miliatry College,From 262 Visitors
Dermatologist,110 EGP,4.5,Waiting Time : 24 Minutes,Aga : elgalaa street,From 28 Visitors
Physiotherapist,300 EGP,,null,Heliopolis : Elmontazah St from ElHegaz St,null
Dentist,150 EGP,4.5,Waiting Time : 26 Minutes,Maadi Ring Road,From 11 Visitors
Gynecologist,300 EGP,5,Waiting Time : 20 Minutes,Hadayek El-Ahram : z,From 3 Visitors
Cardiologist,450 EGP,,null,El-Dokki,null
Orthopedist,250 EGP,5,Waiting Time : 7 Minutes,El-Giza : Hamadan,From 5 Visitors
Internist,250 EGP,4.5,Waiting Time : 9 Hours and 7 Minutes,6th of October : al mehwar al markzi,From 28 Visitors
Pediatrician,350 EGP,4.5,Waiting Time : 8 Minutes,Heliopolis,From 66 Visitors
Dentist,300 EGP,4.5,Waiting Time : 15 Minutes,El-Dokki : Musadak Street-Infront Of Dunkin Donuts,From 16 Visitors
Urologist,400 EGP,5,Waiting Time : 11 Minutes,Nasr City : Mostafa elnhas St,From 167 Visitors
Gynecologist,400 EGP,5,Waiting Time : 8 Minutes,El-Maadi : 9th St.,From 5 Visitors
Dentist,300 EGP,4.5,Waiting Time : 23 Minutes,Nasr City,From 38 Visitors
Internist,200 EGP,4,Waiting Time : 12 Minutes,6-Oct,From 66 Visitors
Surgical Oncologist,500 EGP,4,Waiting Time : 18 Minutes,El-Mokattam : 9 street,From 11 Visitors
Cardiologist,600 EGP,5,Waiting Time : 10 Minutes,El-Mohandessin : Alfawakh St,From 3 Visitors
Pediatrician,250 EGP,5,Waiting Time : 5 Minutes,6th of October,From 76 Visitors
Oncologist,400 EGP,5,Waiting Time : 1 Hour and 1 Minute,Tanta : El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower,From 39 Visitors
Nutritionist,350 EGP,5,Waiting Time : 6 Minutes,Hadayek El-Ahram : first entrance of first gate,From 274 Visitors
Dentist,150 EGP,4.5,Waiting Time : 10 Minutes,Hadayek El-Ahram : El Geish street,From 46 Visitors
Dermatologist,300 EGP,4.5,Waiting Time : 12 Minutes,El-Maadi : Al Nasr St. - Gazaer Square,From 412 Visitors
Dentist,100 EGP,4.5,Waiting Time : 20 Minutes,El-Mokattam,From 58 Visitors
Dentist,150 EGP,4.5,Waiting Time : 13 Minutes,"El-Mokattam : Behinde pharmacy college MTI, AlHdba AlWosta",From 171 Visitors
Orthopedist,400 EGP,4.5,Waiting Time : 11 Minutes,El-Rehab,From 20 Visitors
Surgical Oncologist,500 EGP,4,Waiting Time : 18 Minutes,El-Mokattam : 9 street,From 11 Visitors
Hepatologist,550 EGP,4.5,Waiting Time : 1 Hour and 36 Minutes,Heliopolis : botrous ghaly street,From 100 Visitors
Dermatologist,280 EGP,4.5,Waiting Time : 9 Minutes,Hadayek El-Ahram,From 141 Visitors
Dermatologist,300 EGP,4.5,Waiting Time : 12 Minutes,Hadayek El-Ahram,From 204 Visitors
General Surgeon,250 EGP,4.5,Waiting Time : 7 Minutes,6th of October : Borie Plaza 1-Elhossary Square,From 12 Visitors
Internist,200 EGP,4.5,Waiting Time : 36 Minutes,Imbaba : Elwahda street,From 675 Visitors
Urologist,400 EGP,4.5,Waiting Time : 15 Minutes,Fifth Settlement Medical Center,From 581 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors
Gynecologist,150 EGP,,null,El-Haram,null
Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors
Cardiologist,600 EGP,5,Waiting Time : 10 Minutes,El-Mohandessin : Alfawakh St,From 3 Visitors
Dentist,150 EGP,4.5,Waiting Time : 10 Minutes,Hadayek El-Ahram : El Geish street,From 46 Visitors
Dentist,100 EGP,4.5,Waiting Time : 10 Minutes,El-Haram : Haram,From 59 Visitors
Dentist,100 EGP,5,Waiting Time : 8 Minutes,El-Zaitoun : Selim Elawal Street-Egypt Air Towers-Above Eltayaran Supermarket,From 44 Visitors
Neurosurgeon,450 EGP,,null,Nasr City : ahmad elzumor,null
Infertility Specialist,150 EGP,4.5,Waiting Time : 50 Minutes,El-Mokattam,From 10 Visitors
Orthopedist,250 EGP,5,Waiting Time : 38 Minutes,El-Mohandessin,From 23 Visitors
Gynecologist,350 EGP,5,Waiting Time : 9 Minutes,151 Street - Horreya Square,From 12 Visitors
Nutritionist,350 EGP,5,Waiting Time : 6 Minutes,Hadayek El-Ahram : first entrance of first gate,From 274 Visitors
Ophthalmologist,200 EGP,4,Waiting Time : 47 Minutes,Shibin El-Kom : hakma square,From 61 Visitors
Oncologist,400 EGP,5,Waiting Time : 1 Hour and 1 Minute,Tanta : El-Geish st.  with Al- Galaa st.- Al-Awkaf  tower,From 39 Visitors
Dentist,200 EGP,,null,north Teseen ST,null
General Surgeon,250 EGP,4.5,Waiting Time : 16 Minutes,6-Oct,From 11 Visitors
,null,,null,El-Maadi,null
Urologist,120 EGP,4.5,Waiting Time : 21 Minutes,El-Zagazig : obour bridge next to sawaf restaurant,From 117 Visitors
Physiotherapist,220 EGP,5,Waiting Time : 17 Minutes,El-Obour City,From 56 Visitors
Physiotherapist,300 EGP,5,Waiting Time : 6 Minutes,El-Rehab,From 30 Visitors
ENT Doctor,300 EGP,5,Waiting Time : 6 Minutes,6th of October : Central Axis,From 821 Visitors
Dentist,150 EGP,5,Waiting Time : 9 Minutes,Imbaba,From 263 Visitors
Cardiologist,350 EGP,5,Waiting Time : 12 Minutes,El-Maadi,From 128 Visitors
Neurologist,250 EGP,4.5,Waiting Time : 17 Minutes,Shibin El-Kom,From 182 Visitors
Gynecologist,110 EGP,5,Waiting Time : 17 Minutes,Banha : 5 ibn Hagag street,From 16 Visitors
Pediatrician,200 EGP,5,Waiting Time : 8 Minutes,El-Mansoura : 6 october street branched from ahmed maher street,From 152 Visitors
General Surgeon,300 EGP,4.5,Waiting Time : 4 Minutes,Nasr City,From 69 Visitors
Neurologist,600 EGP,4.5,Waiting Time : 8 Minutes,Nasr City : AbdElhamid awad,From 196 Visitors
Urologist,500 EGP,4.5,Waiting Time : 30 Minutes,El-Maadi : Elnasr Street,From 84 Visitors
Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors
Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors
